name,key,Life expectancy at birth (years) 2015,Total fertility rate 2015,Deaths due to ischemic heart disease (cases per 100k population) 2010,Deaths due to cancer (cases per 100k population) 2010,Human resources in science and technology (percent) 2016,Population density (people per km^2) 2015,Unemployment rate (percent) 2016,Regional gross domestic product (PPS per inhabitant) 2015,Mean precipitation (mm) Apr-Sep,Mean precipitation (mm) Oct-Mar,Mean temperature (C) Apr-Sep,Mean temperature (C) Oct-Mar
Cheshire,UKD6,81.5,1.88,,,58.3,405.3,3.2,36700.0,7.03994433085,8.39239972432,12.6690002441,5.61611099243
Merseyside,UKD7,79.4,1.76,,,50.8,2103.5,4.9,23500.0,7.5523891449,9.25861104329,13.0427780151,6.03444417318
East Yorkshire and Northern Lincolnshire,UKE1,80.4,1.85,165.3,304.3,43.5,264.0,5.5,23400.0,5.41195557912,5.50476646423,12.8498886108,5.58099994659
North Yorkshire,UKE2,82.4,1.73,156.7,260.1,51.3,97.5,2.9,28100.0,6.47695563634,7.88896691004,11.8007778804,4.75811109543
South Yorkshire,UKE3,80.0,1.74,183.9,323.7,46.3,885.6,7.1,21500.0,6.89605575138,8.34614827898,12.4951850043,5.13203695085
West Yorkshire,UKE4,80.0,1.9,171.8,298.4,46.4,1125.8,5.8,26100.0,7.51702785492,9.64295864105,11.6863888105,4.47569441795
Derbyshire and Nottinghamshire,UKF1,80.6,1.79,163.8,292.3,48.6,452.0,4.5,24900.0,6.71119848887,7.88759544918,12.7381744385,5.32198410942
"Leicestershire, Rutland and Northamptonshire",UKF2,81.4,1.89,145.1,278.4,47.9,362.0,4.5,27300.0,5.67224689766,5.95561737484,13.3056794626,5.68166662146
Lincolnshire,UKF3,81.2,1.89,146.2,285.1,40.5,124.1,4.3,22900.0,5.24750621231,5.16014798482,13.2029016283,5.72135791072
"Herefordshire, Worcestershire and Warwickshire",UKG1,81.8,1.85,130.0,266.0,52.7,224.1,3.7,28400.0,5.93621614244,7.00443857687,13.2416049816,5.87660503387
Shropshire and Staffordshire,UKG2,80.8,1.82,152.1,290.6,44.4,257.7,4.2,22600.0,6.43400696913,7.63606262207,12.8116668065,5.63826386134
West Midlands,UKG3,80.1,1.94,153.7,296.6,45.5,3141.1,7.5,25500.0,5.8241109848,5.92133331299,13.110555013,5.6786108017
East Anglia,UKH1,82.3,1.89,141.1,264.8,48.2,196.3,3.8,29500.0,5.13625476095,5.0946943495,13.7124078539,6.07425922818
Bedfordshire and Hertfordshire,UKH2,82.3,1.94,143.7,269.6,58.0,632.4,4.1,32100.0,5.19384454091,5.22916634878,13.7120007833,5.9368888855
Essex,UKH3,81.6,1.94,138.8,278.4,48.6,487.0,3.8,25900.0,4.83012983534,4.98102765613,14.2230555216,6.40851847331
Inner London - West,UKI3,83.2,1.3,,,81.9,10468.8,4.7,167500.0,5.24933338165,6.09044392904,13.6861114502,5.90500005086
Inner London - East,UKI4,80.8,1.58,,,69.9,11040.3,7.2,50600.0,5.24933338165,6.09044392904,13.6861114502,5.90500005086
Outer London - East and North East,UKI5,81.6,2.02,,,56.5,4323.3,5.6,22500.0,5.05100011826,5.65647204717,13.8502775828,6.10527769725
Outer London - South,UKI6,82.8,1.89,,,64.9,3626.7,4.3,27200.0,5.19033352534,5.57294416428,13.6308333079,5.92222213745
Outer London - West and North West,UKI7,82.8,1.86,,,64.8,4446.8,5.0,36400.0,5.19033352534,5.57294416428,13.6308333079,5.92222213745
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,82.8,1.89,126.4,264.2,61.4,411.3,2.7,43300.0,5.31075922648,5.46212042703,13.7111117045,5.96731450823
"Surrey, East and West Sussex",UKJ2,82.5,1.81,121.9,258.3,58.9,521.0,3.5,33200.0,5.01579169432,6.19319442908,14.0168056488,6.27819434802
Hampshire and Isle of Wight,UKJ3,82.5,1.81,126.9,264.2,52.1,471.2,3.7,31300.0,5.27346038818,7.03118269784,13.8792860849,6.50269835336
Kent,UKJ4,81.4,1.91,146.2,286.1,50.5,481.7,4.5,25600.0,4.88565090724,5.87676175435,14.0522222973,6.40666671026
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,82.0,1.82,134.3,268.8,55.8,326.6,3.6,32500.0,5.94125566483,7.37335004807,13.7215001424,6.29766661326
Dorset and Somerset,UKK2,82.2,1.85,124.8,259.1,50.4,214.8,4.3,25900.0,6.17076545291,8.78264194065,13.5421605993,6.68240759108
Cornwall and Isles of Scilly,UKK3,81.6,1.89,146.8,271.2,46.0,155.2,3.7,21900.0,7.47661113739,11.9976946513,13.0844453176,7.53666687012
Devon,UKK4,81.8,1.8,135.8,271.4,49.0,173.9,3.5,24100.0,6.95711088181,10.8759441376,13.1916672389,6.86875025431
West Wales and The Valleys,UKL1,79.9,1.77,177.0,297.2,46.1,149.2,4.9,19600.0,7.66613349915,10.8731835047,12.3747777303,5.91238896052
East Wales,UKL2,80.9,1.74,152.9,293.4,54.0,151.1,3.6,26000.0,7.48615570068,10.5827614466,12.3602222443,5.56572237015
Eastern Scotland,UKM2,79.8,1.51,,,58.6,115.1,4.8,28200.0,7.69684839249,10.9604293072,10.3889647108,3.73020201018
South Western Scotland,UKM3,78.3,1.57,,,56.4,179.3,5.5,26500.0,9.04024526808,13.3915367126,11.2349072562,4.58333330684
North Eastern Scotland,UKM5,79.9,1.56,,,56.8,75.8,5.1,44800.0,6.32293049494,7.70098606745,10.6923611959,3.87958316008
Highlands and Islands,UKM6,79.9,1.74,,,52.1,11.6,4.7,26600.0,9.30878027659,14.8391294934,10.069999937,4.27693118746
Northern Ireland,UKN0,80.5,1.96,178.1,292.2,45.5,136.6,5.7,22600.0,8.0123934216,10.4375832346,12.0303242471,6.03874995973
